EX,Tarifna oznaka,Naziv,Dopunska jedinica,Carinska stopa (%),EU,CEFTA,IRN,TUR,"CHE, LIE",ISL,NOR
,2208 20 66 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> alkoholna pića dobivena destilacijom vina od grožđa ili komine od grožđa >>> u posudama zapremine veće od 2 l >>> dobiveni destilacijom vina od grožđa >>> Brandy ili Weinbrand",l alc. 100%,15+2KM/l,0,0,15+2KM/l,0,0,0,0
,2208 20 69 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> alkoholna pića dobivena destilacijom vina od grožđa ili komine od grožđa >>> u posudama zapremine veće od 2 l >>> dobiveni destilacijom vina od grožđa >>> ostalo",l alc. 100%,15+2KM/l,0,0,15+2KM/l,0,0,0,0
ex,2208 20 69 10,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> alkoholna pića dobivena destilacijom vina od grožđa ili komine od grožđa >>> u posudama zapremine veće od 2 l >>> dobiveni destilacijom vina od grožđa >>> ostalo >>> vinjak",l alc. 100%,15+2KM/l,0,0,15+2KM/l,0,0,0,0
ex,2208 20 69 20,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> alkoholna pića dobivena destilacijom vina od grožđa ili komine od grožđa >>> u posudama zapremine veće od 2 l >>> dobiveni destilacijom vina od grožđa >>> ostalo >>> sirovi destilat",l alc. 100%,15+2KM/l,0,0,15+2KM/l,0,0,0,0
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> alkoholna pića dobivena destilacijom vina od grožđa ili komine od grožđa >>> u posudama zapremine veće od 2 l >>> dobiveni destilacijom komine od grožđa",,,,,,,,,
,2208 20 86 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> alkoholna pića dobivena destilacijom vina od grožđa ili komine od grožđa >>> u posudama zapremine veće od 2 l >>> dobiveni destilacijom komine od grožđa >>> Grappa",l alc. 100%,15+2KM/l,0,0,15+2KM/l,0,0,0,0
,2208 20 88 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> alkoholna pića dobivena destilacijom vina od grožđa ili komine od grožđa >>> u posudama zapremine veće od 2 l >>> dobiveni destilacijom komine od grožđa >>> ostala",l alc. 100%,15+2KM/l,0,0,15+2KM/l,0,0,0,0
ex,2208 20 88 10,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> alkoholna pića dobivena destilacijom vina od grožđa ili komine od grožđa >>> u posudama zapremine veće od 2 l >>> dobiveni destilacijom komine od grožđa >>> ostala >>> lozovača i komovica",l alc. 100%,15+2KM/l,15+2KM/l,0,15+2KM/l,0,15+2KM/l,15+2KM/l,15+2KM/l
ex,2208 20 88 20,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> alkoholna pića dobivena destilacijom vina od grožđa ili komine od grožđa >>> u posudama zapremine veće od 2 l >>> dobiveni destilacijom komine od grožđa >>> ostala >>> sirovi destilat",l alc. 100%,15+2KM/l,0,0,15+2KM/l,0,0,0,0
,2208 30,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> viski",,,,,,,,,
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> viski >>> Burbon whisky, u posudama zapremine",,,,,,,,,
,2208 30 11 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> viski >>> Burbon whisky, u posudama zapremine >>> 2 l ili manje",l alc. 100%,15,0,0,15,0,0,0,0
,2208 30 19 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> viski >>> Burbon whisky, u posudama zapremine >>> veće od 2 l",l alc. 100%,15,0,0,15,0,0,0,0
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> viski >>> Scotch whisky",,,,,,,,,
,2208 30 30 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> viski >>> Scotch whisky >>> čisti „malt“ viski",l alc. 100%,15,0,0,15,0,0,0,0
ex,2208 30 30 10,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> viski >>> Scotch whisky >>> čisti „malt“ viski >>> veće od 2 l",l alc. 100%,15,0,0,15,0,0,0,0
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> viski >>> Scotch whisky >>> miješani „malt“ viski, u posudama zapremine",,,,,,,,,
,2208 30 41 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> viski >>> Scotch whisky >>> miješani „malt“ viski, u posudama zapremine >>> 2 l ili manje",l alc. 100%,15,0,0,15,0,0,0,0
,2208 30 49 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> viski >>> Scotch whisky >>> miješani „malt“ viski, u posudama zapremine >>> veće od 2 l",l alc. 100%,15,0,0,15,0,0,0,0
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> viski >>> Scotch whisky >>> čisti ''single grain'' viski i mješani ''blended grain'' viski, u posudama zapremine",,,,,,,,,
,2208 30 61 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> viski >>> Scotch whisky >>> čisti ''single grain'' viski i mješani ''blended grain'' viski, u posudama zapremine >>> 2 l ili manje",l alc. 100%,15,0,0,15,0,0,0,0
,2208 30 69 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> viski >>> Scotch whisky >>> čisti ''single grain'' viski i mješani ''blended grain'' viski, u posudama zapremine >>> veće od 2 l",l alc. 100%,15,0,0,15,0,0,0,0
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> viski >>> Scotch whisky >>> ostali mješani viski, u posudama zapremine",,,,,,,,,
,2208 30 71 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> viski >>> Scotch whisky >>> ostali mješani viski, u posudama zapremine >>> 2 l ili manje",l alc. 100%,15,0,0,15,0,0,0,0
,2208 30 79 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> viski >>> Scotch whisky >>> ostali mješani viski, u posudama zapremine >>> veće od 2 l",l alc. 100%,15,0,0,15,0,0,0,0
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> viski >>> ostali, u posudama zapremine",,,,,,,,,
,2208 30 82 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> viski >>> ostali, u posudama zapremine >>> 2 l ili manje",l alc. 100%,15,0,0,15,0,0,0,0
,2208 30 88 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> viski >>> ostali, u posudama zapremine >>> veće od 2 l",l alc. 100%,15,0,0,15,0,0,0,0
,2208 40,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> rum i i druga alkoholna pića dobivena destilacijom fermentisanih proizvoda od šećerne trske",,,,,,,,,
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> rum i i druga alkoholna pića dobivena destilacijom fermentisanih proizvoda od šećerne trske >>> u posudama zapremine 2 l ili manje",,,,,,,,,
,2208 40 11 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> rum i i druga alkoholna pića dobivena destilacijom fermentisanih proizvoda od šećerne trske >>> u posudama zapremine 2 l ili manje >>> rum što sadrži 225 g ili više isparljivih materija",l alc. 100%,15,0,0,15,0,0,0,0
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> rum i i druga alkoholna pića dobivena destilacijom fermentisanih proizvoda od šećerne trske >>> u posudama zapremine 2 l ili manje >>> ostalo",,,,,,,,,
,2208 40 31 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> rum i i druga alkoholna pića dobivena destilacijom fermentisanih proizvoda od šećerne trske >>> u posudama zapremine 2 l ili manje >>> ostalo >>> vrijednosti veće od 7,9 EUR po litri čistog alkohola",l alc. 100%,15,0,0,15,0,0,0,0
,2208 40 39 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> rum i i druga alkoholna pića dobivena destilacijom fermentisanih proizvoda od šećerne trske >>> u posudama zapremine 2 l ili manje >>> ostalo >>> ostalo",l alc. 100%,15,0,0,15,0,0,0,0
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> rum i i druga alkoholna pića dobivena destilacijom fermentisanih proizvoda od šećerne trske >>> u posudama zapremine veće od 2 l",,,,,,,,,
,2208 40 51 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> rum i i druga alkoholna pića dobivena destilacijom fermentisanih proizvoda od šećerne trske >>> u posudama zapremine veće od 2 l >>> rum koji sadrži 225 g ili više isparljivih materija",l alc. 100%,15,0,0,15,0,0,0,0
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> rum i i druga alkoholna pića dobivena destilacijom fermentisanih proizvoda od šećerne trske >>> u posudama zapremine veće od 2 l >>> ostalo",,,,,,,,,
,2208 40 91 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> rum i i druga alkoholna pića dobivena destilacijom fermentisanih proizvoda od šećerne trske >>> u posudama zapremine veće od 2 l >>> ostalo >>> vrijednosti veće od 2 EUR po litri čistog alkohola",l alc. 100%,15,0,0,15,0,0,0,0
,2208 40 99 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> rum i i druga alkoholna pića dobivena destilacijom fermentisanih proizvoda od šećerne trske >>> u posudama zapremine veće od 2 l >>> ostalo >>> ostalo",l alc. 100%,15,0,0,15,0,0,0,0
,2208 50,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> džin i klekovača",,,,,,,,,
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> džin i klekovača >>> džin, u posudama zapremine",,,,,,,,,
,2208 50 11 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> džin i klekovača >>> džin, u posudama zapremine >>> 2 l ili manje",l alc. 100%,15,0,0,15,0,0,0,0
,2208 50 19 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> džin i klekovača >>> džin, u posudama zapremine >>> veće od 2 l",l alc. 100%,15,0,0,15,0,0,0,0
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> džin i klekovača >>> klekovača, u posudama zapremine",,,,,,,,,
,2208 50 91 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> džin i klekovača >>> klekovača, u posudama zapremine >>> 2 l ili manje",l alc. 100%,15,0,0,15,0,0,0,0
,2208 50 99 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> džin i klekovača >>> klekovača, u posudama zapremine >>> veće od 2 l",l alc. 100%,15,0,0,15,0,0,0,0
,2208 60,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> votka",,,,,,,,,
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> votka >>> sa volumenskim sadržajem alkohola 45,4 % vol ili manjim, u posudama zapremine",,,,,,,,,
,2208 60 11 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> votka >>> sa volumenskim sadržajem alkohola 45,4 % vol ili manjim, u posudama zapremine >>> 2 l ili manje",l alc. 100%,15,0,0,15,0,0,0,0
,2208 60 19 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> votka >>> sa volumenskim sadržajem alkohola 45,4 % vol ili manjim, u posudama zapremine >>> veće od 2 l",l alc. 100%,15,0,0,15,0,0,0,0
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> votka >>> sa volumenskim sadržajem alkohola većim od 45,4 % vol, u posudama zapremine",,,,,,,,,
,2208 60 91 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> votka >>> sa volumenskim sadržajem alkohola većim od 45,4 % vol, u posudama zapremine >>> 2 l ili manje",l alc. 100%,15,0,0,15,0,0,0,0
,2208 60 99 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> votka >>> sa volumenskim sadržajem alkohola većim od 45,4 % vol, u posudama zapremine >>> veće od 2 l",l alc. 100%,15,0,0,15,0,0,0,0
,2208 70,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> likeri i sredstva za osvježenje",,,,,,,,,
,2208 70 10 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> likeri i sredstva za osvježenje >>> u posudama zapremine 2 l ili manje",l alc. 100%,15,0,0,15,0,0,0,0
,2208 70 90 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> likeri i sredstva za osvježenje >>> u posudama zapremine veće od 2 l",l alc. 100%,15,0,0,15,0,0,0,0
,2208 90,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo",,,,,,,,,
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> arak, u posudama zapremine",,,,,,,,,
,2208 90 11 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> arak, u posudama zapremine >>> 2 l ili manje",l alc. 100%,15,0,0,15,0,"7,5",15,12
,2208 90 19 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> arak, u posudama zapremine >>> veće od 2 l",l alc. 100%,15,0,0,15,0,"7,5",15,12
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> destilisana pića",,,,,,,,,
,2208 90 33 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> destilisana pića >>> 2 l ili manje",l alc. 100%,15+2KM/l,15+2KM/l,0,15+2KM/l,0,"12+1,6KM/l",15+2KM/l,15+2KM/l
ex,2208 90 33 10,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> destilisana pića >>> 2 l ili manje >>> šljivovica",l alc. 100%,15+2KM/l,15+2KM/l,0,15+2KM/l,0,15+2KM/l,15+2KM/l,15+2KM/l
,2208 90 38 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> destilisana pića >>> veće od 2 l",l alc. 100%,15+2KM/l,15+2KM/l,0,15+2KM/l,0,15+2KM/l,15+2KM/l,15+2KM/l
ex,2208 90 38 10,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> destilisana pića >>> veće od 2 l >>> šljivovica",l alc. 100%,15+2KM/l,15+2KM/l,0,15+2KM/l,0,15+2KM/l,15+2KM/l,15+2KM/l
ex,2208 90 38 20,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> destilisana pića >>> veće od 2 l >>> sirovi destilati",l alc. 100%,15+2KM/l,15+2KM/l,0,15+2KM/l,0,"12+1,6KM/l",15+2KM/l,15+2KM/l
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> ostala destilisana pića",,,,,,,,,
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> ostala destilisana pića >>> 2 l ili manje",,,,,,,,,
,2208 90 41 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> ostala destilisana pića >>> 2 l ili manje >>> Ouzo",l alc. 100%,15,0,0,15,0,12,15,12
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> ostala destilisana pića >>> 2 l ili manje >>> ostala",,,,,,,,,
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> ostala destilisana pića >>> 2 l ili manje >>> ostala >>> destilisana pića",,,,,,,,,
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> ostala destilisana pića >>> 2 l ili manje >>> ostala >>> destilisana pića >>> destilisana iz voća",,,,,,,,,
,2208 90 45 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> ostala destilisana pića >>> 2 l ili manje >>> ostala >>> destilisana pića >>> destilisana iz voća >>> Calvados",l alc. 100%,15,0,0,15,0,15,15,15
,2208 90 48 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> ostala destilisana pića >>> 2 l ili manje >>> ostala >>> destilisana pića >>> destilisana iz voća >>> ostala",l alc. 100%,15,0,0,15,0,"7,5",15,12
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> ostala destilisana pića >>> 2 l ili manje >>> ostala >>> destilisana pića >>> ostala",,,,,,,,,
,2208 90 54 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> ostala destilisana pića >>> 2 l ili manje >>> ostala >>> destilisana pića >>> ostala >>> Tequila",l alc. 100%,15,0,0,15,0,12,15,12
,2208 90 56 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> ostala destilisana pića >>> 2 l ili manje >>> ostala >>> destilisana pića >>> ostala >>> ostala",l alc. 100%,15,0,0,15,0,12,15,12
,2208 90 69 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> ostala destilisana pića >>> 2 l ili manje >>> ostala >>> ostala alkoholna pića",l alc. 100%,15,0,0,15,0,"7,5",15,12
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> ostala destilisana pića >>> veće od 2 l",,,,,,,,,
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> ostala destilisana pića >>> veće od 2 l >>> destilisana pića",,,,,,,,,
,2208 90 71 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> ostala destilisana pića >>> veće od 2 l >>> destilisana pića >>> destilrana iz voća",l alc. 100%,15,0,0,15,0,12,15,15
,2208 90 75 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> ostala destilisana pića >>> veće od 2 l >>> destilisana pića >>> Tequila",l alc. 100%,15,0,0,15,0,12,15,12
,2208 90 77 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> ostala destilisana pića >>> veće od 2 l >>> destilisana pića >>> ostala",l alc. 100%,15,0,0,15,0,"7,5",15,12
,2208 90 78 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> ostala destilisana pića >>> veće od 2 l >>> ostala alkoholna pića",l alc. 100%,15,0,0,15,0,"7,5",15,15
ex,2208 90 78 10,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> ostala destilisana pića >>> veće od 2 l >>> ostala alkoholna pića >>> destilisana iz krompira „Norveški akvavit“",l alc. 100%,15,0,0,15,0,15,15,0
,,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> nedenaturirani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol, u posudama zapremine",,,,,,,,,
,2208 90 91 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> nedenaturirani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol, u posudama zapremine >>> 2 l ili manje",l alc. 100%,15,0,0,15,0,15,15,15
,2208 90 99 00,"Nedenaturisani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol; rakije, likeri i ostala alkoholna pića >>> ostalo >>> nedenaturirani etilni alkohol sa volumenskim sadržajem alkohola manjim od 80 % vol, u posudama zapremine >>> veće od 2 l",l alc. 100%,15,0,0,15,0,"10,5",15,12
,2209 00,Sirće i zamjene sirćeta dobiveni od sirćetne kiseline,,,,,,,,,
,,"Sirće i zamjene sirćeta dobiveni od sirćetne kiseline >>> vinsko sirće, u posudama zapremine",,,,,,,,,
,2209 00 11 00,"Sirće i zamjene sirćeta dobiveni od sirćetne kiseline >>> vinsko sirće, u posudama zapremine >>> 2 l ili manje",l,"10+0,15KM/l",0,0,"10+0,15KM/l",0,0,0,0
,2209 00 19 00,"Sirće i zamjene sirćeta dobiveni od sirćetne kiseline >>> vinsko sirće, u posudama zapremine >>> veće od 2 l",l,"10+0,15KM/l",0,0,"10+0,15KM/l",0,0,0,0
,,"Sirće i zamjene sirćeta dobiveni od sirćetne kiseline >>> ostali, u posudama zapremine",,,,,,,,,
,2209 00 91 00,"Sirće i zamjene sirćeta dobiveni od sirćetne kiseline >>> ostali, u posudama zapremine >>> 2 l ili manje",l,10,0,0,10,0,0,0,0
,2209 00 99 00,"Sirće i zamjene sirćeta dobiveni od sirćetne kiseline >>> ostali, u posudama zapremine >>> veće od 2 l",l,10,0,0,10,0,0,0,0
,2301,"Brašno, griz i pelete od mesa ili klaničnih proizvoda, od ribe ili rakova, mekušaca ili ostalih vodenih beskičmenjaka, neprikladnih za ljudsku prehranu; čvarci",,,,,,,,,
,2301 10 00 00,"Brašno, griz i pelete od mesa ili klaničnih proizvoda, od ribe ili rakova, mekušaca ili ostalih vodenih beskičmenjaka, neprikladnih za ljudsku prehranu; čvarci >>> brašno, griz i pelete od mesa ili klaoničkih proizvoda; čvarci",–,0,0,0,0,0,0,0,0
,2301 20 00 00,"Brašno, griz i pelete od mesa ili klaničnih proizvoda, od ribe ili rakova, mekušaca ili ostalih vodenih beskičmenjaka, neprikladnih za ljudsku prehranu; čvarci >>> brašno, griz i pelete od ribe ili rakova, mekušaca ili ostalih vodenih beskičmenjaka",–,0,0,0,0,0,0,0,0
,2302,"Mekinje i ostali ostaci dobiveni prosijavanjem, mljevenjem ili drugom obradom žitarica ili mahunarki, nepeletizovani ili peletizovani",,,,,,,,,
,2302 10,"Mekinje i ostali ostaci dobiveni prosijavanjem, mljevenjem ili drugom obradom žitarica ili mahunarki, nepeletizovani ili peletizovani >>> od kukuruza",,,,,,,,,
,2302 10 10 00,"Mekinje i ostali ostaci dobiveni prosijavanjem, mljevenjem ili drugom obradom žitarica ili mahunarki, nepeletizovani ili peletizovani >>> od kukuruza >>> sa masenim udjelom skroba ne većim od 35%",–,5,0,0,5,0,5,5,5
,2302 10 90 00,"Mekinje i ostali ostaci dobiveni prosijavanjem, mljevenjem ili drugom obradom žitarica ili mahunarki, nepeletizovani ili peletizovani >>> od kukuruza >>> ostalo",–,5,0,0,5,0,5,5,5
,2302 30,"Mekinje i ostali ostaci dobiveni prosijavanjem, mljevenjem ili drugom obradom žitarica ili mahunarki, nepeletizovani ili peletizovani >>> od pšenice",,,,,,,,,
