EX,Tarifna oznaka,Naziv,Dopunska jedinica,Carinska stopa (%),EU,CEFTA,IRN,TUR,"CHE, LIE",ISL,NOR
,0102 39 90 00,Žive životinje vrste goveda >>> bizoni >>> ostali >>> ostali,kd,"10+0,5KM/kg",0,0,"10+0,5KM/kg",0,"10+0,5KM/kg","10+0,5KM/kg","10+0,5KM/kg"
,0102 90,Žive životinje vrste goveda >>> ostalo,,,,,,,,,
,0102 90 20 00,Žive životinje vrste goveda >>> ostalo >>> čistokrvne priplodne životinje,kd,10,0,0,10,0,10,10,10
,,Žive životinje vrste goveda >>> ostalo >>> ostale,,,,,,,,,
,0102 90 91 00,Žive životinje vrste goveda >>> ostalo >>> ostale >>> domaće vrste,kd,"10+0,5KM/kg",0,0,"10+0,5KM/kg",0,"10+0,5KM/kg","10+0,5KM/kg","10+0,5KM/kg"
,0102 90 99 00,Žive životinje vrste goveda >>> ostalo >>> ostale >>> ostale,kd,"10+0,5KM/kg",0,0,"10+0,5KM/kg",0,"9+0,45KM/kg","10+0,5KM/kg","10+0,5KM/kg"
,0103,Žive svinje,,,,,,,,,
,0103 10 00 00,Žive svinje >>> čistokrvne priplodne životinje,kd,0,0,0,0,0,0,0,0
,,Žive svinje >>> ostale,,,,,,,,,
,0103 91,Žive svinje >>> ostale >>> mase manje od 50 kg,,,,,,,,,
,0103 91 10 00,Žive svinje >>> ostale >>> mase manje od 50 kg >>> domaće vrste,kd,"10+0,5KM/kg","10+0,5KM/kg",0,"10+0,5KM/kg",0,"10+0,5KM/kg","10+0,5KM/kg","10+0,5KM/kg"
,0103 91 90 00,Žive svinje >>> ostale >>> mase manje od 50 kg >>> ostale,kd,"10+0,5KM/kg","10+0,5KM/kg(¹)",0,"10+0,5KM/kg",0,"10+0,5KM/kg","10+0,5KM/kg","10+0,5KM/kg"
,0103 92,Žive svinje >>> ostale >>> mase 50 kg ili veće,,,,,,,,,
,,Žive svinje >>> ostale >>> mase 50 kg ili veće >>> domaće vrste,,,,,,,,,
,0103 92 11 00,"Žive svinje >>> ostale >>> mase 50 kg ili veće >>> domaće vrste >>> svinje, koje su se barem jednom prasile, mase ne manje od 160 kg",kd,"10+0,5KM/kg","10+0,5KM/kg",0,"10+0,5KM/kg",0,"10+0,5KM/kg","10+0,5KM/kg","10+0,5KM/kg"
,0103 92 19 00,Žive svinje >>> ostale >>> mase 50 kg ili veće >>> domaće vrste >>> ostale,kd,"10+0,5KM/kg","10+0,5KM/kg",0,"10+0,5KM/kg",0,"10+0,5KM/kg","10+0,5KM/kg","10+0,5KM/kg"
,0103 92 90 00,Žive svinje >>> ostale >>> mase 50 kg ili veće >>> ostale,kd,"10+0,5KM/kg","10+0,5KM/kg",0,"10+0,5KM/kg",0,"10+0,5KM/kg","10+0,5KM/kg","10+0,5KM/kg"
,0104,Žive ovce i koze,,,,,,,,,
,0104 10,Žive ovce i koze >>> ovce,,,,,,,,,
